"","X","id_post","текст","оценка","address","оценка1"
"460",459,20370,"['#шаверма_международная', '#шаверма_купчино', '', 'В ночь с 27 на 28 февраля, примерно в 3:30, захотелось нам поесть шавермы. В округе было несколько заведений, но наш выбор пал именно на эту. ', 'В довольно не большом помещении вся барная стойка вдоль стены была занята 40 летними мужичками, Дама в белом ждет свою шаверму в пите, в предбаннике стоят алкаши с собаками, Шавермистая романтика... ', 'Нужно было нам 6 шаверм: 5 в лаваше и одну веганскую. Но нашим мечтам не было суждено сбыться ибо видите ли у них нет обычной шавы, а есть только двойная. Немного полазав по карманам и обобрав все деньги со своих дам, мне все-таки удалось купить: 4 в лаваше, одну в пите и одну веганскую (за нее жокей потребовал ровно столько же, как и за двойную! наглость!).', 'Деньги принял кассир, готовил жокей. Приготовили все очень быстро, минут 15. Двойная стоит - 150р (которая на самом деле обычная). Кстати, если берешь не с собой, то сверху тебе мажут белым соусом аля MOSCOW-SHAURMA.', 'И вот настал тот момент, вкусить эту прелестную, прямоугольную, довольно большую шаверму. После 3го укуса началась эпопея - шава просто вся разваливалась и текла, огурцы выпадали из левой стороны, мясо из правой, на дне пакетика образовался некий крем-суп из соуса. Структура меня настолько выбесила, что я бросил эту шаверму и перестал есть!', 'Благо эта шава спасла меня на утро, ибо девочки не смогли обуздать и половину этой шавермы.', '', 'Все это находится на улице Димитрова, 13. Метро рядом нет.', '', 'Вкус - 6 (остренькая, мясо хорошо прожаренное)', 'Сытность - 9 (ОООчень большая)', 'Структура - 1 (Просто каша- овощи и мясо в разных геолокациях шавермы)', 'Оригинальность - 4 (совершенно обычная шаверма, но за соус сверху +)', 'Персонал и помещение - 6,5', '', 'Средняя: 5,3', '', 'Второй раз я сюда точно не вернусь!']","[]","0",NA
"461",460,20349,"['#шаверма_центр', '#шаверма_площадь_восстания', '#шаверма_невский_проспект', '#шаверма_Восстания', '#шаверма_Невский', '', ""Оказавшись волей судьбы в самом ядре Северной столицы, уж остро захотелось мне шавермы. В Мастер Кебаб идти не хотел, там я был как минимум сотню раз за всю жизнь. А до Галереи с ее 'искусственной шавермой' по немалой цене было далеко. Решение пришло само собой - на углу Литейного и Невского я решил зайти в неизведанный ранее храм со скромной надписью Шаверма. "", '', 'Храм крайне маленький, находится в полуподвальном помещении. Сидячих мест нет, только маленький край батареи над ступеньками, на который сесть можно с натяжкой. Хотя и тот был занят когда я пришел. Есть лишь две стойки по бокам, без стульев (уж могли бы поставить! 3 высоких стула б спокойно вместились!)', '', ""Заказ и деньги принимает женщина в кассе. На что обратил внимание, так это тот факт что в меню указано все 'двойное'- двойная в пите, двойная в лаваше. Выбрал последнюю за 165р. Шавермейстер кажется с перчатками, не уверен. "", 'Минуты через 3 (очереди небыло) получил готовую Царицу. К моему изумлению, она оказалась ужасно маленькой!!!', 'Мяса 65%,без связок и хрящей; овощи свежие, стандартные;помидоров больше чем обычно; соус мягкий, нежный, его достаточно и при этом шаверма не потекла. Попросил (как всегда) острее, но результат нулевой(((', '', 'Вкусом в целом доволен, а вот главные минусы это размер как шавермы, так и самого шавермария. Общая оценка 7 из 10.']","['оценка 7']","0",7
"462",461,20333,"['#шаверма_ладожская', '#шаверма_косыгина', '#шаверма_негатив', '', 'Хочу, друзья, рассказать вам об одном местечке, находящемся по адресу Косыгина 31.', 'Просто что бы вы туда НИКОГДА не ходили.', 'Буду краток(относительно обычных своих обзоров), просто потому, что изливаться негативом мне куда более неприятно, чем излучать добро, любовь и солнечный свет.', '', 'И так, сначала о самом заведении: находится оно на первом этаже небольшого торгового комплекса и представляет собой чистую забегаловку со столиками и стульями, ухоженную и приятную на вид. Производит приятное впечатление.', 'В меню кроме собственно шавермы так же имеются булочки, пирожки, пицца и ещё какая-то выпечка.', '', 'Теперь начинается негатив.', '', 'О сервисе: у кассы меня встретила угрюмая готичная дева, в чёрном одеянии и с соответствующим макияжем, и недовольным(видимо потому, что отвлёк её от чтения) хриплым голосом вопросила меня что я желаю вкусить.', 'Сделав заказ и отдав деньги ждал, что сия дева позовёт шавермейстера, который выполнит работу, но нет, она же и пошла готовить.', 'Естественно без перчаток и даже не подумав помыть руки.', 'Ну ОК, я не брезгливый, сел и стал ждать...ждать пришлось минут пять, что в общем-то не очень долго, но при полном отсутствии посетителей мягко говоря не быстро.', 'Когда блюдо было готово, мастерица бросила мне лаконичное ""забирайте"" и я принял заказ.', '', 'И так, о главном: тут всё обстоит ещё хуже - очень, просто преступно мало начинки, в коею вошло пересушенное мясо, которое было не срезано с вертела, а доставалось из контейнера находившегося в холодильнике, огурцы, помидоры и немного капусты(овощи правда свежие, но очень холодные, так как тоже прямиком из холодильника).', 'Соотношение мясо/овощи 40/60.', 'Что бы разогреть эту морозную свежесть, мастерица держала шаверму под прессом минуты три, из-за чего лаваш пережарился, потемнел и иссох, в результате чего шаверма ещё на середине лопнула и начала разваливаться изрыгая немногочисленную начинку в окружающую среду.', 'И это за 149р. в лаваше и 210 на тарелке.', 'Единственное, что приятно удивило - соус. Нежный, насыщенный, с лёгким чесночным ароматом, он слегка примирил меня с ужасами этого мира.', '', 'Как итог, 4,5/10 и ни на пол балла больше. Лучше, чем в днищенском Шеф-Кебабе на Ладожской конечно(их там кстати целых два, и оба одинаково отвратны), но всё равно ОЧЕНЬ плохо.', '', 'P.S. А ещё летом было приятное место, где и начинки клали много, и мясо было сочным, и лучок по просьбе добавляли, и шаверму делал специально обученный шавермен в перчатках, а как забава для особо извращённых ценителей, могли сделать в булочке на манер гамбургера.', 'Ещё летом поставил бы ей 7/10']","[]","Хочу, друзья, рассказать вам об одном местечке, находящемся по адресу Косыгина 31.'",NA
"463",462,20287,"['#шаверма_ПлощадьЛенина', '#шаверма_площадь_Ленина', '#шаверма_Ленина', '', 'Спустя три года в этом районе, я наконец нашёл в себе силы и посетил заведение рядом с пышкой. Там были разносортные кафе от чайхоны до столовой, но теперь там находится burger&kebab. Название конечно настораживающее, по сути это две крайности фаст фуда, одна пришла к нам из далеких гор, другая прилетела из-под железного занавеса. Зайдя сразу обратил внимание на чистоту помещения, аккуратно стоящие столы вдоль стен, спокойную обстановку. На кассе у меня приняли заказ, зачем-то записав его на ресторанном счете, не мало важно что там принимают карту!!! Ждал я минут 10, подошел забрал на подносе. ', 'Там стояла тарелка шавухи, соус отдельно в чашечке, приборы металлические, пита на тарелочке. Внешне блюдо выглядело очень привлекательно: аппетитная зажаренная курица, свежая, тёплая картошка,а не как обычно вчерашняя, которую вечно греют в свч, листья салата сочные и хрустящие, помидорки Черри, хрустящий соленный огурчик. На мой взгляд маловато мяса, но в целом она очень вкусная и сытная. Мне понравился соус, который я думаю они готовят сами он был похож на что-то среднее между тар тар и чесночным, вкусная картошка и мясо было не соленое как обычно. ', 'Моя оценка 8/10']","['оценка 8/10']","0",8
"464",463,20252,"['#Шаверма_Автово', '', 'Находится это заведение прямо у выхода из метро. Небольшое кафе-бистро в подвальчике. Помещение не самое мелкое, есть столики и сидячие места. Чистым этот ""храм"" можно назвать с натяжкой. Непосредственно о самой шавухе:', '1) Мяса здесь дай бог 50%, хотя за двойную, где цитата: ""побольше мяса"", просят 170 рублей', '2) Лаваш нихуя не хрустящий, но плотный и не разваливающийся', '3) Овощи здесь в основном представлены капустой и помидорами. Из за того, что мастер шаурмастер ебошит как пулемет (шаву произвел на свет примерно за 1,5 - 2 минуты) все ингредиенты не равномерно распределены по всей шаве. В конце жрал почти одну капусту. Пулеметчик, кстати, работал без перчаток!', ' 4) Соус необычный, нечесночный, немного кисловатый, с ощущаемым вкусом Кари. И его много, шава не кажется сухой.', '5) Размер у шавы небольшой, скромный. Денег своих не оправдывает, имхо.', 'Итоговый вердикт: 4 из 10. Второй раз не пошел бы туда. Да и в первый раз, если бы не голод даже не глянул бы туда. А еще у них акция: в пите за 99, но там еще все печальнее...']","[]","0",NA
"465",464,20219,"['#Шаверма_зарубежная #шаверма_Стокгольм #шаверма_Швеция', '#шаверма_левого_фланга', '', 'Инспекция. Часть 2 (часть 1 - http://vk.com/wall-94119361_18223). ', '', 'И снова здравствуйте. С достаточно большой задержкой я собрался наконец написать рецензию на второй европейский кебаб на своём пути, а именно - заведение под названием Jerusalem Kebab & Cafe, находящееся в самом центре Стокгольма, в старом городе. Времени в городе у меня было немного, посему инспектируемое заведение было выбрано заранее, по наводке и хорошим отзывам. Итак, рассмотрим результаты по пунктам.', '', 'Местоположение и интерьер.', '', 'Сначала о местоположении. Просто гуляя по столице страны левых флегматичных наследников викингов (или пророка Мухаммеда, чего уж там) и пошедшего не по той дорожке радикального феминизма, наткнуться на данный Храм практически нереально. Он затерян на одной из узких и неприметных улочек Старого города. Найти заведение даже по карте (прилагается) оказалось затруднительно, проще всего плясать от музея Нобеля. Нужная улица начинается с арки, вызывающей ассоциации скорее с питерским колодцем. Однако за ним располагается улица, в самом истоке которой и стоит Иерусалим Кебаб. ', '', 'Заведение и снаружи, и внутри крайне приятное, дизайн совершенно не сравним ни с сетевыми ресторанами фаст-фуда, ни с российскими типовыми храм-точками. Высокие стулья приятного футуристичного дизайна, длинные сплошные и, что немаловажно, чистые столы. На стенах висят фотографии с видами Иерусалима с высоты птичьего полёта. Внутри довольно мало места, однако во время визита народу было немного, что, скорее всего, объясняется разгаром рабочего дня.', '', 'Цены и обслуживание.', '', 'Родная сердцу классификация возведена здесь в абсолют. Плакат с ценами здесь разделён на три большие части, которые можно условно соотнести с привычным нам продуктом в пите, лаваше и на тарелке. Первый кебаб стоит 60 крон, второй - 70, третий - 80. Перевод в евро примерно соответствует делению на 10. В рамках каждого из трёх направлений имеется широчайший выбор вариантов изготовления кебаба. ', '', 'Для обеспечения точности эксперимента я избрал лаваш, после чего предстояло выбрать: куру или говядину я хочу видеть в своей шаверме. Отчего-то я выбрал говядину, хотя, вероятно, для лучшего сравнения с Петроградом следовало взять куру. Кроме того, в Таллинне я уже имел возможность убедиться в том, что говядина в кебаб-точках Европы напоминает скорее ломтики из сабвея. ', '', 'Жокей оказался приветливым восточным мужчиной неопределённой национальности (ливанец?). Сражу же спросил, от каких ингредиентов лучше сразу отказаться, затем стал по очереди предлагать различные соусы (да-да, их там несколько, хотя, конечно, ТСС и не пахнет) и хумус в шаверму. Будучи большим поклонником израильской кухни вообще и хумуса в частности, я с восторгом согласился.', '', 'Приготовление прошло довольно быстро, причём непосредственно на моих глазах. Самое интересное началось дальше. Не желая тратить ни цента лишних денег, мы ещё при покупке попросили налить нам воды for free. Хранитель вертела, конечно, не отказал. А затем, когда трапеза уже началась, он внезапно предложил также и кофе for free, а на наше просьбу подкинуть ещё и молока к нему ответил дружелюбных согласием. Картина маслом: в мультикультурной Швеции ближневосточное заведение поит кофе русских гоев. Приятно, что сказать.', '', 'Непосредственно шаверма (или кебаб).', '', 'Перейду к делу. Во-первых, габариты кебаба были довольно внушительны, на уровне больших шаверм нашего града (""Вкусная шаверма"" двойная на Ленинском, Московской и в Купчино, для сравнения скажу). Упакован он был в бумагу и, поверх неё в фольгу.', '', 'Мясо не отличалось от таллиннского, проигрывает даже куре в наших шавермах во всём, кроме сочности. Как я уже сказал, пластины создают всё те же ассоциации с сабвеем. Но, справедливости ради, само по себе оно вкусное. Мяса много, наверное, соотношение 60-40, если не больше, при это оно не забивает вкус всего остального.', '', 'Лаваш совершенно непохож на то, что мы привыкли видеть в наших храмах. Он толще, мягче и вкуснее. Но не хрустит, к вящему сожалению фанатов этого свойства.', '', 'Набор овощей разнообразный, любую позицию можно исключить, овощи свежие и сочные.', '', 'Соусов, как я уже сказал, множество, включая хумус. Что именно кебабмейстер подразумевал под словом yogurt, я так и не смог понять даже на вкус. Нечто среднее между сметаной, пресным густым кефиром и обычным йогуртом без определённого вкуса. Пожалуй, это единственный компонент, который не пришёлся мне по душе.', '', 'К минусам можно добавить факт разогрева получившейся шавермы в микроволновке, причём разогрева относительно малоуспешного. К середине трапезы тёплым оставалось только мясо. ', '', 'Резюмируя, можно сказать, что Jerusalem Kebab & Cafe - приятное заведение с огромным выбором, относительно (именно относительно!) невысокими для Стокгольма ценами и, как минимум, вкусным кебабом в лаваше. Общее впечатление и вкус, как и в Таллинне, уводят от шавермы в сторону самостоятельного блюда. Так, вероятно и должно быть. Оценивая опять-таки, как шаверму, могу поставить 6 из 10. В целом - крайне рекомендую.']","[]","0",NA
"466",465,20189,"['#шаверма_Удельная ', '', 'Небольшое уютное заведение с достойным оформлением и приятной музыкой. Есть бесплатный wi-fi.', 'Но сан узел ужасный и идти туда лучше после еды.', 'Что по поводу самой шавермы: ', '-Овощи свежие', '-Мясо сухое', '-Недостаточно соуса', '-Повар готовит без перчаток. ', '-Из плюсов можно выделить музыку которая играет просто  бомбезно, можно выбрать по вкусу при помощи автомата который стоит в кафе', '-Соотношение мяса и овощей 6/4', '-Самый огромный минус заключается в том, что шаверма недостаточно тёплая.', '', 'В целом, червячка не утолили, удовольствия не принесла. ', '', 'Оценочка 3 из 10']","[]","0",NA
"467",466,20159,"['#шаверма_политехническая ', '', 'После продолжительного учебного дня, нам предстояло съездить на станцию метро Политехническая. Так как мы испытывали сильнейшее чувство голода, мы оглянулись по сторонам и не нашли ничего стоящего, кроме неприметного заведения ""Алладин"".', 'Зайдя туда, мы увидели небольшое помещение и удивились количеству свободных мест, их было мало.', 'Мы заказали 2 шавермы стоимостью 129 рублей каждая. Готовят прям перед посетителями. ', 'Получив заказ мы сели за чистый столик.', 'О шаве: ', '-лаваш достаточно прожарен', '-много мяса', '-овощей достаточно', '-соус(кетчунез) не протекает. ', '-Размер средний, но очень сытно. ', '', 'В целом, вкусно и есть можно. ', 'Правда, очень бесят треки Джигана, которые крутят по телевизору бесконечно(послушали трека 4)', 'Оценка 7/10', 'Всем добра:)']","['Оценка 7/10']","0",7
"468",467,20119,"['#шаверма_чкаловская', '', 'Шаверма ""4:20""', '', 'Сказать, что название странное, значит не сказать ничего! Не менее странное там и ценообразование, так шаверма в лаваше/пите стоит 90р, а двойная уже 160!', 'Ну что вы можете ожидать от шавухи за 90р? Конечно же это не большой размер и среднего качества мясо. В принципе, вы правы, размер не впечатляет, а если вычисть еще края, на которых один лаваш, то она становится вообще ""детской"" шавермой. Мясо обычное, лимонного привкуса не чувствуется. Соуса крайне мало, лишь ближе к середине я его почувствовала, поэтому шава очень сухая. Внутри куча зелени и огурцов, помидоров минимум (пока ждала шаву, мужик сказал, чтоб побольше помидор положили). Лаваш не хрустящий. Знаете, очень напоминает некую домашнюю шаверму.', 'Теперь перейдем к интерьеру и персоналу. Помещение большое, столов 7. Видно, что до этого там была другая шава, так что ремонта особого нет. Жокей работает в перчатках, деньги принимает девушка. Хозяин заведения отдает заказы, очень вежливый человек. Вывеска не особо видна, я бы сделала ее побольше и добавила бы в интерьер больше зеленых тонов.', 'Ах да, находится все это не далеко от м. Чкаловская, ул. Большая зеленина д.1', '', 'Теперь мои оценки:', 'сытность - 5', 'структура (прочность и равномерность начинки) - 8', 'вкус - 4.5', 'оригинальность - 4', 'персонал и помещение - 8', '', 'Среднее арифметическое в итоге: 5.9. В целом неплохо и недорого, но точно есть, куда стремиться.', '', 'Эти ребята открылись совсем недавно, вроде неделю назад. Думаю улучшат вкус и составляющую. Всем вкусной шавермы!']","[]","0",NA
"469",468,20096,"['#шаверма_Ленинский_проспект', '#шаверма_Ленинский', '#шаверма_ЛенинскийПроспект', '', 'В холодный серый день довелось мне доехать до счастливой (Счастливая улица дом 17 ) шавермы, от Елизаровской через Ленинский проспект ходит прямой автобус , находится богиня в неприметном здании в подвале, я побывал там в день открытия, помещение достаточно маленькое, но тёплое, стульев нет, есть маленькая деревянная стойка у стены, меню с ценами не увидел, жокей был дружелюбен, быстро принял заказ и начал готовить, готовил без перчаток, но деньги брал в конце, будучи вечно голодным студентом я заказал : две в лаваше и мексиканскую шаверму, готовилось все это дело очень быстро, теперь о вкусном: ', 'Порция достаточно средняя на глаз 200 грамм, совсем не острая, соус сливочный нейтральный, его оказалось очень мало, соотношение овощей и мяса 70/30, мясо сочное, но с жилками, овощи свежие, лаваш был обычный магазинный, хотелось бы видеть вместо него лепешку, мексиканская версия представляет собой половинку обычной шавермы в пите.', 'К заведению моё отношение достаточно нейтральное, пресный соус, отсутствие специй, самый обычный лаваш, маленькая стойка и местоположение для меня не оказались аргументами к долгосрочному посещению, даже в пользу той же скидки в 25% ', 'В пите со скидкой 110', 'В лаваше со скидкой 110', 'Мексиканская 70', 'Моя оценка 5 из 10 ', 'Всем добра и удачи.']","['оценка 5']","0",5
"470",469,20064,"['#шаверма_стараяДеревня', 'Итак, к делу. ', '', 'Помещение чистое, новое, персонал очень опрятный и вежливый; с нами поздоровались буквально все работники этой фабрики грёз – от уборщицы на входе до жокея и девушки, принимавшей заказ. Сам жокей – русский, на вид лет 50, интеллигентной внешности, работает в шапочке и перчатках. ', 'Меню. Обычная шаверма в пите/лаваше стоит 150 рублей, При готовке жокей почти не касался лаваша, делал все буквально на глазах, лаваш лежал на деревянном подносе.', '', 'О самой королеве: хороший размер, присутствует корейская морковка и маринованная капуста. Спрашивают, все ли добавлять. Не разваливается, поэтому соус не течет, хотя его достаточно. Лаваш поджарен идеально. Соотношение мяса и остального 60/40. Нет хрящей, мясо не жирное и без кожи. Готова была за 5-10 минут. ', '', 'Итог:', '', 'Расположение – удобное, 2 минуты пешком от Старой деревни (В трк ""Старая деревня"") ', 'Цена – 150 рублей', 'Оценка : 9\\10']","['Оценка : 9']","0",9
"471",470,19953,"['#шаверма_купчино', '', 'Решили начать день с еды богов. ', 'Т.к знакомый не захотел везти нас в шаверму на Московской, то было решено попробовать что-нибудь новое в Купчино. ', 'Выбор пал на скопление ларьков с шавермой напротив Ярослава Гашека 11. ', 'Само помещение очень тесное, хотя посетителей было достаточно много, но некоторые услышав время приготовления (20!!) минут, просто уходили оттуда ничего не заказав, но мы решили подождать. ', 'Саму шаверму действительно готовили 20-25 минут. ', 'Стоимость двойной в лаваше-150р.Ну а теперь о самой шаверме:', 'Из плюсов:', '+Достаточно мягкий лаваш', '+Вкусный соус, но понравился не всем', '+Большой размер', 'Минусы:', '-Структура просто никакая, к концу трапезы у меня все просто растеклось по рукам, пришлось доедать всю эту кашу в тарелке', '-Недожаренное мясо', '-Попадались хрящи', '-Горькие огурцы', '-Всем было не особо хорошо после нее', '', 'Через два часа после употребления, все отправились в комнату уединения. ', '', 'ИТОГ: 1/10']","[]","0",NA
"472",471,19899,"['#шаверма_Московская', '', 'Гуляя с собакой сегодня вечером, решила наконец зайти в заведение, которое мозолит мне глаза каждый раз, когда я иду из дома к метро и обратно, и купить шаверму с собой. Первое впечатление было замечательным, потому что я привыкла слушать ругань продавцов по поводу моей собаки, но здесь повар-узбек смотрел на нас очень дружелюбно)', 'Ждать пришлось всего минут 10, очереди не было, парень работал очень быстро, напевая песенки. Шаверму запечатали очень хорошо, за фольгу кто-то поставил бы отдельный плюс. В состав входило только мясо (очень много мяса, соотношение к овощам примерно 75/25), помидоры, капуста и соус. Лаваш был не особо хрустящий, но для меня это только плюс. Дешевая цена 150р, огромный размер.', 'Из недостатков: отсутствие огурцов, слишком много мяса (я люблю побольше овощей), но  подозреваю, что повар специально для меня постарался, также из-за своих огромных размеров (в длину как литровая кока-кола) шаверма быстро сломалась пополам (см.фото 2), а под конец начал капать соус.', 'Вывод: вполне пригодна для употребления дома, но не рискнула бы есть на месте, т.к. неудобно и очень сильно замараешься капающим соусом и выпадающими из середины ингредиентами. 7 из 10']","[]","0",NA
"473",472,19857,"['#шаверма_Парнас', '', 'Приветствую всех любителей шавермы! Сама в ваших рядах всего полгода, но быстро вошла во вкус. Когда поселилась на Парнасе, кроме пустыря и новостроя тут ничего не было, а теперь и гипермаркеты, и фитнесы с бассейнами, и пиццы-суши. И вот ленивым субботним вечером мне потребовалось заиметь в шаговой доступности от дома вкусную шаверму.', 'После прочтения всех отзывов о местных точках, желание опробовать парнасовскую шаву пропало напрочь и уж было возник энтузиазм ехать на Просвет, как вспомнила, что возле недавно открывшихся Торговых рядов близ метро виднелась вывеска ""Мастер Кебаб"", и сердце нашептало топать туда, и я потопала.', 'Скажу, что мои требования к шаверме в поисках ""шавы мечты"" основаны на предпочтениях гастритника и девушки, вечно сидящей на диете, но при этом любящей закинуться вкуснятинкой и потом мучиться угрызениями совести. ', 'Отзывы о сети ""Мастер Кебаб"" прочла уже после поедания шавы и соответственно после того, как у меня сложилось свое впечатление о ней.', '', 'Парнасовский ""Мастер Кебаб"" расположился в одном из павильонов справа от входа в ""Торговые ряды"". В самом заведении опрятно, стоят диванчики, на стене красуется плазма. Кассир - приятная, дружелюбная. Шавермэн работал быстро, в перчатках. ', 'Заказала на вынос. Шаверму люблю в пите. Оная обошлась мне в 140 рублей. Огромный плюс - это оплата по карте, ибо нал практически не ношу. Упаковали неплохо, положили салфетки, пока несла до дома ничего не протекло. Но, думаю, стоит упомянуть, что сама упаковка не очень надежна: два бумажных треугольных конверта, так что риск обнаружить соус в пакете имеется. Пока ждала, обратила внимание на витрину: выглядело все прилично, содержимое контейнеров было явно свежим. Умилила отдельная витрина с пироженками, но это не сбило меня с цели. Попросила без лука, на что мне сказали, что лук добавляют только по пожеланию. Кассир вручила пакет, и я в предвкушении отправилась домой. В общем, к сервису нареканий не возникло.', 'Дома вскрытие показало следующее. Первое, что огорчило, - это количество начинки. Я привыкла, что шаверма - это такое вкуснейшее блюдо, которое ешь и ешь до тех пор, пока не возникнет ощущение, что вот все - ты наелся шавермы на целую жизнь вперед и больше никогда ее не захочешь. И для этого мне обычно хватало одной шавы, в самые голодные времена - полторы. А тут я поняла, что одной шавой, видимо, накормить удастся только червячка. Ведь главное, не количество, а качество, - заверила я себя, но, вспомнив цену (140 руб.), подумала, что количество все же не так маловажно. Соотношение мяса и овощей - 55 к 45. Мясо, овощи и соус распределены не совсем равномерно, но такой грешок я заметила практически за всеми шавами в пите, в отличие от лавашных. Из овощей - китайская капуста, помидоры, огурцы. Небохато, скажу так. Мясо было вкусным, сочным. Сверху чувствовалась корочка из острого маринада и лимона. Жил не было. Единственное пожелание - можно и чуть позажаристей. ', 'Отдельное внимание соусу. Он порадовал по всем параметрам: был в меру густым и в меру жидким. Не был жирным. Его было ни убавить, ни прибавить. Не был слишком соленым (для меня это особенно важно, так как привыкла мало солить еду, и все соленое в привычном представлении перебивает мои вкусовые ощущения). И еще - чесночный привкус был едва уловим, но достаточен, чтобы упомянуть о нем, так что неприятных ощущений, восстаний и забастовок у желудка не вызвал. Ко всему прочему, он пропитал питу только изнутри и оставил наружную корочку. Я обращаю на это внимание, так как не люблю, когда соус сильно размачивает питу, это напрочь портит все впечатление. ', '', 'Этой шаверме я поставлю 8 баллов из 10. Один балл сниму за размер, и еще один балл за вкусовые впечатления, так как мою любимую петроградскую шаву она не переплюнула. Но в целом, я осталась довольна, что теперь рядом с домом могу порадовать себя любимой шавермой! ', 'Это мой первый отзыв, поэтому попрошу не судить меня строго) Всем вкусных шаверм возле дома! )']","[]","0",NA
